PLAYER_NAME,STL,BLK,DREB,RIM_FGM,RIM_FGA,RIM_FG_PCT
Marcus Thornton,0.8,0.1,1.8,0.5,0.8,0.66
Myles Turner,0.4,1.4,4.4,3.6,7.1,0.507
Hollis Thompson,0.5,0.3,2.8,1.2,2.3,0.517
Al-Farouq Aminu,0.9,0.6,4.9,1.7,3.3,0.506
Nerlens Noel,1.8,1.5,5.8,4.0,8.3,0.486
Sean Kilpatrick,0.4,0.1,1.4,0.6,0.9,0.704
Enes Kanter,0.3,0.4,5.1,2.9,5.5,0.532
Marcus Smart,1.5,0.3,2.9,1.0,1.7,0.569
Terrence Ross,0.8,0.3,2.3,0.6,1.3,0.469
Raymond Felton,0.9,0.2,2.8,0.8,1.5,0.558
Gerald Green,0.6,0.3,2.0,0.8,1.5,0.552
Dwight Howard,1.0,1.6,8.4,3.6,7.2,0.497
Jerryd Bayless,0.9,0.2,2.3,0.8,1.5,0.538
Patrick Beverley,1.3,0.4,2.5,0.9,1.6,0.58
Allen Crabbe,0.8,0.2,2.3,0.6,1.3,0.476
Shabazz Muhammad,0.3,0.1,2.0,0.8,1.4,0.568
Stanley Johnson,0.8,0.2,3.4,0.8,1.3,0.577
Gary Neal,0.5,0.0,1.8,0.8,1.2,0.66
Courtney Lee,1.1,0.4,2.2,0.7,1.2,0.596
Robin Lopez,0.2,1.6,4.1,3.6,7.9,0.458
Kelly Olynyk,0.8,0.5,3.0,2.2,4.1,0.547
Alex Len,0.5,0.8,5.3,2.9,5.7,0.506
Shelvin Mack,0.7,0.1,2.2,0.6,0.9,0.592
Doug McDermott,0.2,0.1,2.0,1.1,1.8,0.596
Luis Scola,0.6,0.3,3.7,1.8,3.1,0.569
Jameer Nelson,0.6,0.1,2.5,0.7,1.5,0.5
O.J. Mayo,1.2,0.2,2.2,1.0,1.7,0.603
Jerami Grant,0.7,1.6,3.4,2.3,4.9,0.461
Jeremy Lamb,0.6,0.5,3.2,0.8,1.4,0.574
Ricky Rubio,2.1,0.1,3.8,1.2,1.9,0.601
Austin Rivers,0.7,0.1,1.6,0.5,1.3,0.414
Kyle Korver,0.8,0.4,3.1,1.8,3.2,0.565
Rodney Stuckey,0.7,0.1,2.4,0.7,1.1,0.576
Patty Mills,0.7,0.1,1.6,0.5,0.8,0.677
Jusuf Nurkic,0.8,1.4,3.4,2.8,4.8,0.586
Kevin Martin,0.5,0.1,1.7,0.6,0.8,0.773
Jordan Hill,0.5,0.5,4.0,2.9,5.5,0.53
Nikola Jokic,1.0,0.6,4.7,2.7,5.6,0.493
Aaron Gordon,0.8,0.7,4.6,1.9,3.6,0.527
Manu Ginobili,1.1,0.2,2.1,0.6,1.0,0.576
Nik Stauskas,0.6,0.3,2.2,1.0,1.9,0.511
Wayne Ellington,0.6,0.1,2.0,0.8,1.2,0.681
Gerald Henderson,0.5,0.3,2.5,0.5,1.2,0.44
Mo Williams,0.3,0.1,1.6,0.4,0.7,0.567
Archie Goodwin,0.5,0.2,2.0,0.7,1.2,0.557
Tony Allen,1.7,0.3,3.0,0.8,1.5,0.557
Terrence Jones,0.5,0.8,3.0,2.3,4.4,0.516
Mario Chalmers,1.4,0.2,2.2,0.6,1.0,0.629
Cory Joseph,0.8,0.3,2.1,0.9,2.0,0.458
Tim Duncan,0.8,1.3,5.4,3.3,7.0,0.47
Toney Douglas,1.1,0.1,1.9,0.5,0.9,0.615
Ramon Sessions,0.6,0.1,2.2,0.5,1.0,0.57
Meyers Leonard,0.1,0.3,4.3,2.0,3.9,0.525
Langston Galloway,0.9,0.3,3.0,0.7,1.5,0.492
PJ Tucker,1.3,0.2,4.2,1.1,2.2,0.497
Danny Green,1.0,0.8,3.2,1.2,2.4,0.492
Gorgui Dieng,1.1,1.2,5.2,3.7,7.1,0.526
Derrick Williams,0.4,0.1,3.1,0.5,1.1,0.483
Bobby Portis,0.4,0.4,3.5,2.0,3.7,0.552
Darrell Arthur,0.8,0.7,3.0,2.0,4.1,0.486
Jon Leuer,0.6,0.4,4.4,2.2,4.3,0.507
Carl Landry,0.3,0.3,2.7,2.0,3.3,0.602
Nick Young,0.4,0.1,1.5,0.9,1.4,0.59
Lance Stephenson,0.6,0.1,2.7,0.6,1.0,0.576
Taj Gibson,0.6,1.1,4.1,2.5,5.2,0.48
Aaron Brooks,0.4,0.1,1.2,0.5,0.9,0.576
Nene,0.9,0.5,3.6,2.2,4.4,0.504
Tyler Johnson,0.7,0.4,2.3,0.9,2.0,0.431
Matthew Dellavedova,0.6,0.1,1.7,0.8,1.5,0.5
Corey Brewer,1.0,0.2,1.9,1.0,1.7,0.604
Ben McLemore,0.8,0.1,1.7,0.9,1.6,0.581
E'Twaun Moore,0.6,0.3,1.9,0.8,1.7,0.485
DeAndre Jordan,0.7,2.3,10.3,3.7,8.0,0.464
Jason Smith,0.4,0.9,2.2,2.2,4.2,0.524
Frank Kaminsky,0.5,0.5,3.3,2.3,4.2,0.545
Lance Thomas,0.4,0.1,1.6,0.6,1.3,0.459
Wesley Johnson,1.1,0.7,2.6,1.4,2.6,0.522
Joffrey Lauvergne,0.2,0.3,3.6,1.9,3.6,0.526
Shane Larkin,1.2,0.2,1.9,0.9,1.6,0.553
Josh Smith,0.6,0.9,2.6,1.7,3.8,0.447
Marreese Speights,0.3,0.5,2.3,1.6,3.2,0.489
JaMychal Green,0.6,0.4,3.0,1.2,2.5,0.474
Garrett Temple,0.9,0.2,2.2,0.9,1.8,0.503
Brandon Jennings,0.6,0.1,1.7,0.5,0.8,0.667
Ian Mahinmi,0.9,1.1,5.2,3.3,6.6,0.497
Mason Plumlee,0.8,1.0,5.2,4.2,7.9,0.525
Jose Calderon,0.9,0.1,2.9,0.8,1.5,0.57
Patrick Patterson,0.7,0.4,3.3,1.7,3.4,0.49
Zaza Pachulia,0.8,0.3,6.2,3.8,7.3,0.522
PJ Hairston,0.5,0.2,2.3,0.7,1.5,0.469
David Lee,0.4,0.5,3.7,2.1,3.8,0.544
Luke Babbitt,0.2,0.1,2.6,1.4,2.4,0.598
Mike Dunleavy,0.5,0.3,2.4,1.2,2.0,0.613
Andrea Bargnani,0.1,0.2,1.5,1.3,2.0,0.656
Jared Dudley,0.9,0.2,2.9,2.4,4.4,0.535
Greivis Vasquez,0.4,0.0,1.8,0.5,1.0,0.522
Cody Zeller,0.8,0.9,4.3,2.8,5.9,0.481
Justise Winslow,0.9,0.3,4.1,1.7,3.2,0.547
Randy Foye,0.5,0.4,1.6,0.6,1.2,0.515
Paul Pierce,0.5,0.3,2.6,1.2,2.4,0.488
Devin Harris,0.9,0.2,1.9,0.8,1.2,0.688
Rudy Gobert,0.7,2.2,7.5,3.4,8.2,0.41
David West,0.6,0.7,3.0,1.8,3.8,0.48
TJ McConnell,1.2,0.1,2.6,0.6,1.2,0.52
Donald Sloan,0.5,0.1,2.6,0.8,1.3,0.59
Vince Carter,0.6,0.3,1.9,0.8,1.4,0.583
Kosta Koufos,0.5,0.9,3.2,2.5,5.2,0.488
D.J. Augustin,0.6,0.1,1.4,0.5,0.7,0.739
Andre Iguodala,1.1,0.3,3.2,1.1,1.8,0.592
Iman Shumpert,1.0,0.4,3.2,0.5,1.1,0.452
Andrew Nicholson,0.2,0.4,3.0,1.6,2.9,0.553
Kris Humphries,0.3,0.4,3.0,2.0,3.7,0.541
Donatas Motiejunas,0.5,0.1,1.9,1.1,2.3,0.471
Leandro Barbosa,0.6,0.1,1.3,0.3,0.6,0.564
Trey Lyles,0.3,0.2,3.0,1.7,3.0,0.55
Amir Johnson,0.7,1.0,4.1,2.8,5.9,0.474
Alexis Ajinca,0.3,0.6,3.3,1.6,3.2,0.489
Spencer Hawes,0.4,0.5,3.4,2.2,4.3,0.51
Ty Lawson,0.8,0.1,1.4,0.7,1.0,0.672
Mario Hezonja,0.5,0.2,1.9,1.0,1.5,0.661
Tony Snell,0.3,0.3,2.8,1.0,1.9,0.541
Charlie Villanueva,0.3,0.2,2.1,0.8,1.5,0.554
Steven Adams,0.5,1.1,3.9,3.1,6.3,0.488
Maurice Harkless,0.6,0.4,2.3,1.0,2.2,0.473
Josh Richardson,0.7,0.5,1.7,0.9,1.9,0.474
Willie Cauley-Stein,0.7,1.0,3.3,1.8,3.7,0.479
Dante Cunningham,0.5,0.4,2.2,1.3,2.2,0.598
Tim Hardaway Jr.,0.4,0.1,1.5,0.4,0.8,0.5
Jason Terry,0.7,0.1,0.9,0.4,0.8,0.582
Markel Brown,0.6,0.2,1.6,0.8,1.3,0.585
Raul Neto,0.8,0.0,1.3,0.6,1.2,0.51
Clint Capela,0.8,1.2,3.9,3.0,6.1,0.493
Jerian Grant,0.7,0.1,1.6,0.7,1.3,0.525
Seth Curry,0.5,0.1,1.1,0.4,0.9,0.462
John Henson,0.3,1.9,2.4,2.3,5.4,0.423
Tristan Thompson,0.5,0.6,5.7,3.3,6.3,0.528
Mike Scott,0.3,0.2,2.0,0.8,1.7,0.476
Metta World Peace,0.6,0.3,2.0,0.7,1.5,0.49
Boris Diaw,0.3,0.3,2.3,1.5,2.9,0.518
Roy Hibbert,0.4,1.4,3.3,3.2,6.3,0.506
Channing Frye,0.4,0.3,2.8,1.5,2.9,0.515
Thabo Sefolosha,1.1,0.5,3.8,1.1,1.9,0.564
Festus Ezeli,0.4,1.1,3.6,2.8,6.3,0.436
Trevor Booker,0.7,0.5,3.6,1.3,2.4,0.552
Anthony Morrow,0.3,0.1,0.8,0.5,0.9,0.586
Tyler Zeller,0.2,0.4,1.9,1.9,3.7,0.532
Shaun Livingston,0.7,0.3,1.6,1.0,1.5,0.633
Cameron Payne,0.6,0.1,1.3,0.5,0.9,0.592
Ronnie Price,1.2,0.2,1.2,0.2,0.5,0.467
Brandon Bass,0.5,0.8,2.7,2.0,3.7,0.549
Norman Powell,0.6,0.2,2.0,0.6,1.0,0.54
Larry Nance Jr.,0.9,0.4,3.3,1.5,2.6,0.574
Rondae Hollis-Jefferson,1.3,0.6,4.0,1.8,3.3,0.542
Tyson Chandler,0.5,0.7,6.1,2.9,5.5,0.536
Timofey Mozgov,0.3,0.8,3.0,2.4,5.0,0.485
Aron Baynes,0.3,0.6,3.0,2.6,5.0,0.517
Lavoy Allen,0.3,0.5,3.3,1.7,3.5,0.498
Anthony Tolliver,0.4,0.2,2.6,1.2,2.3,0.518
Tim Frazier,0.6,0.0,1.6,0.5,0.8,0.6
Joakim Noah,0.6,1.0,5.8,2.3,4.3,0.524
Chris McCullough,1.2,0.5,1.8,1.6,2.8,0.591
Sasha Vujacic,0.6,0.1,2.0,0.7,1.2,0.583
Beno Udrih,0.3,0.0,1.5,0.5,1.0,0.571
JJ Hickson,0.4,0.4,2.7,1.6,3.2,0.495
Jonathon Simmons,0.4,0.1,1.5,0.6,0.8,0.721
Richaun Holmes,0.4,0.8,1.4,1.6,3.5,0.475
Troy Daniels,0.3,0.1,1.2,0.4,0.8,0.543
JaKarr Sampson,0.3,0.5,2.0,1.0,2.1,0.48
Marcelo Huertas,0.5,0.1,1.4,0.5,0.8,0.558
Justin Holiday,0.6,0.4,1.5,0.8,1.7,0.472
Tyus Jones,0.8,0.1,1.1,0.5,0.8,0.586
Anthony Brown,0.5,0.2,2.1,1.0,1.5,0.659
Jarell Martin,0.3,0.3,1.7,0.9,2.1,0.439
Tiago Splitter,0.6,0.3,2.1,2.0,4.3,0.474
Dwight Powell,0.5,0.3,2.7,1.5,3.1,0.493
Amar'e Stoudemire,0.3,0.8,3.0,2.0,4.0,0.505
Kevin Seraphin,0.2,0.8,2.0,1.3,3.0,0.421
James Johnson,0.5,0.6,1.8,0.7,1.4,0.468
Richard Jefferson,0.4,0.2,1.5,0.7,1.1,0.588
Kyle O'Quinn,0.3,0.8,2.7,1.8,3.8,0.472
CJ Watson,0.6,0.2,1.7,0.8,1.2,0.684
Steve Blake,0.4,0.1,1.4,0.6,1.1,0.607
Ryan Kelly,0.4,0.3,2.8,1.0,1.8,0.563
Thomas Robinson,0.5,0.5,3.1,1.8,3.6,0.504
Ed Davis,0.7,0.9,4.6,2.5,5.5,0.458
Tyler Ennis,0.5,0.0,1.3,0.6,0.9,0.683
Andrew Bogut,0.5,1.6,5.3,2.9,6.4,0.452
JaVale McGee,0.1,0.8,2.4,1.7,2.9,0.576
Andre Roberson,0.8,0.6,2.5,1.0,1.9,0.523
Nemanja Bjelica,0.4,0.4,2.7,2.2,3.7,0.589
Kendall Marshall,0.5,0.1,0.9,0.4,0.6,0.632
Miles Plumlee,0.3,0.8,2.3,2.3,4.5,0.518
Kyle Anderson,0.8,0.4,2.8,0.5,1.1,0.482
Rashad Vaughn,0.4,0.2,1.1,0.5,0.9,0.574
Cole Aldrich,0.8,1.1,3.4,2.3,4.7,0.491
John Jenkins,0.2,0.0,1.1,0.4,0.6,0.63
Jonas Jerebko,0.3,0.3,2.7,1.0,2.0,0.51
Shabazz Napier,0.4,0.0,0.8,0.3,0.5,0.654
Quincy Acy,0.5,0.4,2.1,1.4,2.8,0.519
Chase Budinger,0.5,0.2,1.6,0.6,1.1,0.543
Brandon Rush,0.3,0.3,2.2,0.8,1.5,0.495
Joe Ingles,0.7,0.0,1.6,0.4,0.7,0.533
Noah Vonleh,0.3,0.3,2.7,1.2,2.4,0.481
Ray McCallum,0.3,0.2,1.0,0.4,0.7,0.621
