PLAYER_NAME,0 Dribbles,1 Dribble,2 Dribbles,3-6 Dribbles,7+ Dribbles
Tony Parker,0.176,0.052,0.08,0.296,0.395
Mirza Teletovic,0.712,0.119,0.089,0.074,0.006
Dennis Schroder,0.245,0.104,0.1,0.242,0.309
Kent Bazemore,0.504,0.113,0.144,0.179,0.061
Otto Porter,0.711,0.123,0.078,0.075,0.013
Jose Juan Barea,0.204,0.078,0.069,0.263,0.386
Harrison Barnes,0.586,0.147,0.139,0.113,0.015
Bojan Bogdanovic,0.517,0.161,0.098,0.166,0.058
Isaiah Canaan,0.472,0.119,0.086,0.209,0.115
TJ Warren,0.459,0.293,0.107,0.127,0.014
Marco Belinelli,0.689,0.129,0.07,0.088,0.024
Kenneth Faried,0.722,0.2,0.059,0.016,0.003
Evan Turner,0.216,0.122,0.133,0.326,0.204
Jeremy Lin,0.297,0.121,0.135,0.247,0.2
Hassan Whiteside,0.747,0.199,0.031,0.022,0
Nikola Mirotic,0.747,0.102,0.094,0.056,0.002
Marvin Williams,0.776,0.081,0.109,0.035,0
Matt Barnes,0.712,0.134,0.084,0.055,0.014
Dion Waiters,0.328,0.123,0.155,0.285,0.109
Omri Casspi,0.609,0.151,0.158,0.074,0.008
Ersan Ilyasova,0.694,0.168,0.109,0.027,0.002
Jonas Valanciunas,0.722,0.154,0.074,0.05,0
Marcus Thornton,0.506,0.131,0.101,0.164,0.098
Myles Turner,0.804,0.143,0.04,0.013,0
Hollis Thompson,0.729,0.098,0.105,0.064,0.004
Al-Farouq Aminu,0.628,0.127,0.102,0.11,0.034
Nerlens Noel,0.631,0.205,0.08,0.075,0.009
Sean Kilpatrick,0.522,0.181,0.119,0.148,0.03
Enes Kanter,0.774,0.119,0.049,0.055,0.003
Marcus Smart,0.516,0.144,0.115,0.157,0.068
Terrence Ross,0.567,0.128,0.139,0.126,0.039
Raymond Felton,0.251,0.085,0.119,0.331,0.214
Gerald Green,0.546,0.201,0.146,0.088,0.019
Dwight Howard,0.731,0.122,0.069,0.075,0.003
Jerryd Bayless,0.5,0.147,0.085,0.17,0.099
Patrick Beverley,0.473,0.121,0.123,0.167,0.116
Allen Crabbe,0.564,0.266,0.116,0.054,0
Shabazz Muhammad,0.528,0.23,0.124,0.11,0.009
Stanley Johnson,0.376,0.139,0.144,0.29,0.052
Gary Neal,0.333,0.228,0.201,0.185,0.052
Courtney Lee,0.48,0.227,0.111,0.149,0.033
Robin Lopez,0.68,0.198,0.077,0.044,0.002
Kelly Olynyk,0.618,0.176,0.103,0.099,0.004
Alex Len,0.698,0.205,0.079,0.015,0.003
Shelvin Mack,0.201,0.126,0.131,0.335,0.206
Doug McDermott,0.629,0.186,0.126,0.058,0.002
Luis Scola,0.656,0.115,0.1,0.117,0.012
Jameer Nelson,0.293,0.085,0.107,0.182,0.332
O.J. Mayo,0.564,0.15,0.084,0.159,0.044
Jerami Grant,0.503,0.212,0.139,0.127,0.018
Jeremy Lamb,0.478,0.133,0.124,0.186,0.078
Ricky Rubio,0.35,0.082,0.084,0.235,0.249
Austin Rivers,0.335,0.087,0.097,0.236,0.244
Kyle Korver,0.7,0.214,0.061,0.025,0
Rodney Stuckey,0.265,0.181,0.188,0.262,0.104
Patty Mills,0.5,0.124,0.077,0.136,0.163
Jusuf Nurkic,0.656,0.158,0.112,0.075,0
Kevin Martin,0.446,0.234,0.155,0.14,0.025
Jordan Hill,0.657,0.177,0.095,0.071,0
Nikola Jokic,0.673,0.167,0.087,0.072,0.002
Aaron Gordon,0.61,0.144,0.097,0.118,0.031
Manu Ginobili,0.445,0.189,0.131,0.145,0.09
Nik Stauskas,0.516,0.161,0.119,0.16,0.044
Wayne Ellington,0.49,0.2,0.157,0.119,0.034
Gerald Henderson,0.398,0.184,0.149,0.216,0.054
Mo Williams,0.275,0.083,0.109,0.225,0.308
Archie Goodwin,0.293,0.133,0.145,0.295,0.133
Tony Allen,0.511,0.177,0.147,0.135,0.03
Terrence Jones,0.514,0.225,0.14,0.104,0.016
Mario Chalmers,0.307,0.086,0.086,0.244,0.278
Cory Joseph,0.192,0.08,0.086,0.302,0.34
