PLAYER_NAME,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED_OFF,AVG_SPEED_DEF
Matt Barnes,1.13,0.91,4.63,3.82
Dion Waiters,0.95,0.85,4.14,3.67
Omri Casspi,1.04,0.89,4.73,3.81
Ersan Ilyasova,0.96,0.79,4.54,3.7
Jonas Valanciunas,0.96,0.77,4.16,3.82
Marcus Thornton,0.66,0.6,4.41,3.85
Myles Turner,0.87,0.74,4.6,3.87
Hollis Thompson,1.08,0.94,4.54,4.07
Al-Farouq Aminu,1.14,0.92,4.73,3.92
Nerlens Noel,1.1,0.93,4.42,3.86
Sean Kilpatrick,0.74,0.65,4.56,3.87
Enes Kanter,0.84,0.66,4.72,3.79
Marcus Smart,0.98,0.9,4.48,3.79
Terrence Ross,0.94,0.77,4.52,3.99
Raymond Felton,1.03,0.85,4.37,3.8
Gerald Green,0.84,0.74,4.38,3.96
Dwight Howard,1.06,0.99,4.09,3.54
Jerryd Bayless,1.03,0.91,4.31,3.76
Patrick Beverley,1.14,1.01,4.95,4.04
Allen Crabbe,1.02,0.82,4.64,3.85
Shabazz Muhammad,0.74,0.72,4.42,4.16
Stanley Johnson,0.9,0.78,4.66,4.05
Gary Neal,0.73,0.67,4.56,3.81
Courtney Lee,1.1,0.95,4.35,3.96
Robin Lopez,1.02,0.83,4.37,3.82
Kelly Olynyk,0.79,0.64,4.79,3.7
Alex Len,0.85,0.72,4.31,3.72
Shelvin Mack,0.89,0.64,5.04,3.94
Doug McDermott,0.93,0.79,4.86,4.09
Luis Scola,0.86,0.67,4.48,4.06
Jameer Nelson,0.99,0.77,4.44,3.48
O.J. Mayo,0.9,0.88,4.21,3.82
Jerami Grant,1.06,0.9,4.69,4.04
Jeremy Lamb,0.74,0.61,4.7,4.01
Ricky Rubio,1.16,1.01,4.61,3.9
Austin Rivers,0.82,0.74,4.48,4.04
Kyle Korver,1.14,1.01,4.7,3.9
Rodney Stuckey,0.76,0.67,4.18,3.64
Patty Mills,0.92,0.7,5.27,4.14
Jusuf Nurkic,0.62,0.55,4.4,3.77
Kevin Martin,0.72,0.64,4.27,3.87
Jordan Hill,0.73,0.64,4.14,3.8
Nikola Jokic,0.81,0.68,4.55,3.71
Aaron Gordon,1.0,0.81,5.05,3.96
Manu Ginobili,0.74,0.61,4.47,3.79
Nik Stauskas,1.0,0.83,4.73,4.1
Wayne Ellington,0.83,0.71,4.6,4.04
Gerald Henderson,0.79,0.63,4.66,3.91
Mo Williams,0.69,0.56,4.36,3.84
Archie Goodwin,0.75,0.65,4.64,4.0
Tony Allen,0.9,0.83,4.19,4.03
Terrence Jones,0.75,0.68,4.38,3.81
Mario Chalmers,0.85,0.66,4.48,3.54
Cory Joseph,1.05,0.83,4.73,4.09
Tim Duncan,0.86,0.72,3.93,3.61
Toney Douglas,0.87,0.74,5.14,4.19
Ramon Sessions,0.75,0.67,4.61,3.77
Meyers Leonard,0.76,0.63,4.12,3.54
Langston Galloway,0.98,0.81,4.64,3.98
PJ Tucker,1.07,1.0,4.15,3.87
Danny Green,1.09,0.88,4.84,4.22
Gorgui Dieng,0.94,0.85,4.17,3.76
Derrick Williams,0.66,0.54,4.32,3.7
Bobby Portis,0.69,0.6,4.7,4.03
Darrell Arthur,0.78,0.66,4.33,3.64
Jon Leuer,0.73,0.64,4.8,3.97
Carl Landry,0.58,0.5,4.31,3.86
Nick Young,0.67,0.56,4.11,3.57
Lance Stephenson,0.69,0.62,4.15,3.74
Taj Gibson,0.96,0.85,4.35,3.81
Aaron Brooks,0.58,0.5,4.37,3.75
Nene,0.64,0.63,4.21,3.75
Tyler Johnson,0.93,0.77,4.57,3.92
Matthew Dellavedova,0.96,0.76,4.59,3.81
Corey Brewer,0.75,0.73,4.62,4.07
Ben McLemore,0.86,0.78,5.06,4.22
E'Twaun Moore,0.84,0.72,4.75,3.99
DeAndre Jordan,1.11,1.03,4.01,3.59
Jason Smith,0.59,0.49,4.58,3.9
Frank Kaminsky,0.89,0.67,5.02,3.82
Lance Thomas,0.87,0.74,4.58,4.04
Wesley Johnson,0.76,0.69,4.38,3.95
Joffrey Lauvergne,0.66,0.56,4.43,3.81
Shane Larkin,0.87,0.73,4.64,3.93
Josh Smith,0.52,0.48,3.97,3.55
Marreese Speights,0.39,0.35,4.1,3.55
JaMychal Green,0.69,0.62,4.42,3.97
Garrett Temple,0.92,0.86,4.75,4.02
Brandon Jennings,0.73,0.59,4.88,3.9
Ian Mahinmi,0.9,0.82,4.31,3.77
Mason Plumlee,0.97,0.8,4.52,3.82
Jose Calderon,1.13,0.85,4.65,3.74
Patrick Patterson,0.91,0.76,4.12,3.72
Zaza Pachulia,0.92,0.83,4.07,3.85
PJ Hairston,0.75,0.64,4.51,3.89
David Lee,0.6,0.54,4.44,3.9
Luke Babbitt,0.73,0.6,4.96,3.92
Mike Dunleavy,0.94,0.73,4.9,3.94
Andrea Bargnani,0.5,0.42,4.28,3.77
Jared Dudley,1.01,0.85,4.87,3.77
Greivis Vasquez,0.78,0.66,4.75,3.94
Cody Zeller,0.99,0.8,4.92,3.93
Justise Winslow,1.06,0.93,4.36,3.95
Randy Foye,0.74,0.62,4.38,3.69
Paul Pierce,0.59,0.52,3.9,3.45
Devin Harris,0.75,0.61,4.43,3.76
Rudy Gobert,1.22,0.97,4.42,3.86
David West,0.61,0.52,3.99,3.54
TJ McConnell,0.9,0.7,5.24,4.35
Donald Sloan,0.87,0.72,4.83,3.97
Vince Carter,0.61,0.51,4.3,3.64
Kosta Koufos,0.73,0.62,4.62,3.91
D.J. Augustin,0.71,0.57,4.43,3.65
Andre Iguodala,0.97,0.86,4.57,3.67
Iman Shumpert,0.9,0.78,4.31,3.98
Andrew Nicholson,0.53,0.47,4.24,3.83
Kris Humphries,0.6,0.52,4.75,3.85
Donatas Motiejunas,0.56,0.53,4.74,4.14
Leandro Barbosa,0.63,0.51,4.84,3.78
Trey Lyles,0.68,0.54,4.43,3.94
Amir Johnson,0.78,0.75,4.33,3.75
Alexis Ajinca,0.52,0.46,4.4,3.66
Spencer Hawes,0.68,0.54,4.44,3.66
Ty Lawson,0.79,0.73,4.52,3.97
Mario Hezonja,0.73,0.62,4.94,4.09
Tony Snell,0.76,0.66,4.55,3.83
Charlie Villanueva,0.41,0.34,4.56,3.82
Steven Adams,0.97,0.8,4.76,3.68
Maurice Harkless,0.74,0.62,4.67,4.07
Josh Richardson,0.83,0.7,4.47,4.07
Willie Cauley-Stein,0.85,0.76,4.86,4.14
Dante Cunningham,0.98,0.86,4.92,4.06
Tim Hardaway Jr.,0.62,0.58,4.6,3.88
Jason Terry,0.65,0.6,4.66,3.91
Markel Brown,0.58,0.54,4.45,3.99
Raul Neto,0.77,0.61,4.73,4.15
Clint Capela,0.7,0.66,4.6,3.97
Jerian Grant,0.65,0.55,4.58,4.01
Seth Curry,0.58,0.52,4.63,3.89
John Henson,0.58,0.56,4.25,3.88
Tristan Thompson,1.06,0.89,4.46,4.01
Mike Scott,0.59,0.53,4.79,3.96
Metta World Peace,0.59,0.54,4.28,3.78
Boris Diaw,0.72,0.56,4.6,3.81
Roy Hibbert,0.84,0.71,4.17,3.86
Channing Frye,0.62,0.5,4.34,3.54
Thabo Sefolosha,0.85,0.8,4.52,3.96
Festus Ezeli,0.64,0.57,4.85,3.86
Trevor Booker,0.83,0.65,4.57,3.96
Anthony Morrow,0.51,0.42,4.48,3.71
Tyler Zeller,0.45,0.39,4.67,3.82
Shaun Livingston,0.78,0.63,4.97,3.75
Cameron Payne,0.5,0.4,4.78,4.03
Ronnie Price,0.76,0.69,4.69,4.17
Brandon Bass,0.76,0.64,4.42,3.82
Norman Powell,0.61,0.48,4.63,4.1
Larry Nance Jr.,0.83,0.66,4.79,4.05
Rondae Hollis-Jefferson,0.81,0.76,4.64,4.22
Tyson Chandler,0.83,0.75,4.03,3.69
Timofey Mozgov,0.7,0.57,4.77,3.99
Aron Baynes,0.54,0.47,4.21,3.78
Lavoy Allen,0.73,0.65,4.35,3.81
Anthony Tolliver,0.71,0.57,4.54,3.66
Tim Frazier,0.57,0.47,4.7,3.83
Joakim Noah,0.86,0.71,4.73,3.82
Chris McCullough,0.64,0.53,5.14,4.12
Sasha Vujacic,0.61,0.49,4.78,4.04
Beno Udrih,0.7,0.5,5.09,3.78
JJ Hickson,0.46,0.39,4.34,3.76
Jonathon Simmons,0.59,0.46,4.61,3.92
Richaun Holmes,0.52,0.45,4.54,3.89
Troy Daniels,0.47,0.38,4.96,4.14
JaKarr Sampson,0.61,0.55,4.65,4.06
Marcelo Huertas,0.65,0.55,4.8,3.99
Justin Holiday,0.55,0.49,4.68,3.93
Tyus Jones,0.6,0.55,4.78,4.17
Anthony Brown,0.79,0.69,4.48,4.13
Jarell Martin,0.55,0.46,4.63,4.01
Tiago Splitter,0.58,0.53,4.46,3.85
Dwight Powell,0.59,0.48,4.86,4.02
Amar'e Stoudemire,0.52,0.45,4.16,3.77
Kevin Seraphin,0.42,0.35,4.57,3.87
James Johnson,0.61,0.51,4.32,3.9
Richard Jefferson,0.61,0.56,3.97,3.89
Kyle O'Quinn,0.42,0.35,4.2,3.67
CJ Watson,0.8,0.68,4.98,3.97
Steve Blake,0.71,0.53,4.89,3.76
Ryan Kelly,0.47,0.41,4.53,3.65
Thomas Robinson,0.49,0.42,4.44,3.95
Ed Davis,0.78,0.65,4.39,3.88
Tyler Ennis,0.57,0.48,4.84,4.03
Andrew Bogut,0.68,0.62,4.19,3.4
JaVale McGee,0.39,0.34,4.28,3.85
Andre Roberson,0.85,0.82,4.77,4.27
Nemanja Bjelica,0.69,0.57,4.67,3.78
Kendall Marshall,0.52,0.42,4.71,3.76
Miles Plumlee,0.53,0.5,4.56,4.12
Kyle Anderson,0.64,0.49,4.64,3.81
Rashad Vaughn,0.53,0.51,4.45,4.23
Cole Aldrich,0.49,0.42,4.39,3.83
John Jenkins,0.44,0.38,4.63,4.1
Jonas Jerebko,0.59,0.5,4.76,3.91
Shabazz Napier,0.43,0.38,4.77,4.1
Quincy Acy,0.55,0.51,4.51,4.02
Chase Budinger,0.55,0.46,4.7,3.88
Brandon Rush,0.58,0.51,4.91,4.03
Joe Ingles,0.59,0.47,4.35,3.87
Noah Vonleh,0.59,0.48,4.64,3.95
Ray McCallum,0.52,0.39,5.15,4.18
Josh McRoberts,0.55,0.41,4.59,3.54
Solomon Hill,0.53,0.47,4.41,3.76
James Anderson,0.55,0.49,4.71,4.06
Bismack Biyombo,0.81,0.68,4.27,3.81
Alonzo Gee,0.86,0.82,4.77,4.23
Darrun Hilliard,0.38,0.33,4.6,3.88
Drew Gooden,0.38,0.34,4.43,4.01
Willie Reed,0.41,0.35,4.43,3.93
Glenn Robinson,0.47,0.38,4.78,4.16
Kelly Oubre,0.41,0.36,4.68,4.01
Phil Pressey,0.51,0.45,5.19,4.27
Axel Toupane,0.55,0.5,4.58,4.1
Kyle Singler,0.58,0.48,4.76,4.1
Jeff Withey,0.5,0.4,4.46,3.87
Johnny O'Bryant,0.49,0.44,4.59,4.03
Justin Anderson,0.48,0.37,4.8,3.86
Kevin Garnett,0.55,0.47,4.67,3.68
Dewayne Dedmon,0.43,0.41,4.51,3.81
Robert Sacre,0.46,0.39,4.2,3.64
Tayshaun Prince,0.65,0.61,4.16,3.85
Omer Asik,0.62,0.53,4.33,3.62
Kirk Hinrich,0.56,0.46,4.86,4.04
Luc Mbah a Moute,0.62,0.58,4.42,3.97
Chris Johnson,0.49,0.42,4.65,4.24
Tarik Black,0.48,0.4,4.6,3.72
Chris Andersen,0.53,0.47,4.26,3.81
Reggie Bullock,0.48,0.38,4.89,4.0
Andre Miller,0.42,0.34,4.2,3.52
Kostas Papanikolaou,0.45,0.38,4.82,3.94
Sonny Weems,0.43,0.39,4.53,3.99
Pablo Prigioni,0.56,0.5,4.73,4.4
Cristiano Felicio,0.41,0.35,4.73,4.01
Salah Mejri,0.44,0.39,4.37,4.05
Jason Thompson,0.4,0.31,4.52,3.95
Lamar Patterson,0.44,0.39,4.71,4.08
Ryan Hollins,0.44,0.39,4.18,3.84
Kendrick Perkins,0.51,0.44,4.2,3.52
Nick Collison,0.44,0.38,4.46,3.81
Sergey Karasev,0.38,0.34,4.71,3.94
