PLAYER_NAME,Touch < 2 Seconds,Touch 2-6 Seconds,Touch 6+ Seconds
Kelly Olynyk,0.676,0.303,0.02
Alex Len,0.714,0.265,0.021
Shelvin Mack,0.318,0.473,0.209
Doug McDermott,0.822,0.176,0.002
Luis Scola,0.705,0.264,0.031
Jameer Nelson,0.332,0.326,0.342
O.J. Mayo,0.639,0.29,0.072
Jerami Grant,0.619,0.343,0.038
Jeremy Lamb,0.576,0.312,0.112
Ricky Rubio,0.435,0.309,0.256
Austin Rivers,0.39,0.368,0.242
Kyle Korver,0.909,0.089,0.002
Rodney Stuckey,0.403,0.455,0.143
Patty Mills,0.637,0.229,0.134
Jusuf Nurkic,0.714,0.286,0
Kevin Martin,0.564,0.379,0.057
Jordan Hill,0.646,0.261,0.093
Nikola Jokic,0.691,0.269,0.04
Aaron Gordon,0.7,0.263,0.036
Manu Ginobili,0.553,0.336,0.111
Nik Stauskas,0.672,0.279,0.05
Wayne Ellington,0.643,0.312,0.045
Gerald Henderson,0.524,0.394,0.082
Mo Williams,0.351,0.351,0.298
Archie Goodwin,0.362,0.49,0.148
Tony Allen,0.639,0.321,0.041
Terrence Jones,0.621,0.33,0.049
Mario Chalmers,0.372,0.336,0.291
Cory Joseph,0.258,0.422,0.319
Tim Duncan,0.707,0.252,0.041
Toney Douglas,0.385,0.412,0.203
Ramon Sessions,0.406,0.359,0.235
Meyers Leonard,0.837,0.158,0.005
Langston Galloway,0.629,0.299,0.071
PJ Tucker,0.636,0.332,0.033
Danny Green,0.805,0.191,0.004
Gorgui Dieng,0.708,0.273,0.019
Derrick Williams,0.607,0.34,0.053
Bobby Portis,0.664,0.315,0.021
Darrell Arthur,0.832,0.164,0.004
Jon Leuer,0.72,0.273,0.006
Carl Landry,0.767,0.225,0.008
Nick Young,0.616,0.352,0.032
Lance Stephenson,0.304,0.5,0.196
Taj Gibson,0.734,0.25,0.016
Aaron Brooks,0.245,0.409,0.345
Nene,0.576,0.354,0.07
Tyler Johnson,0.558,0.281,0.161
Matthew Dellavedova,0.45,0.301,0.249
Corey Brewer,0.689,0.302,0.009
Ben McLemore,0.722,0.261,0.018
E'Twaun Moore,0.468,0.383,0.149
DeAndre Jordan,0.911,0.069,0.02
Jason Smith,0.889,0.098,0.012
Frank Kaminsky,0.67,0.324,0.006
Lance Thomas,0.586,0.393,0.021
Wesley Johnson,0.893,0.105,0.002
Joffrey Lauvergne,0.763,0.222,0.016
Shane Larkin,0.349,0.343,0.307
Josh Smith,0.699,0.258,0.043
Marreese Speights,0.811,0.178,0.011
JaMychal Green,0.785,0.213,0.002
Garrett Temple,0.695,0.277,0.028
Brandon Jennings,0.386,0.307,0.307
Ian Mahinmi,0.845,0.148,0.007
Mason Plumlee,0.723,0.234,0.043
Jose Calderon,0.535,0.21,0.254
Patrick Patterson,0.775,0.225,0
Zaza Pachulia,0.809,0.18,0.011
PJ Hairston,0.752,0.214,0.034
David Lee,0.712,0.27,0.018
Luke Babbitt,0.498,0.477,0.025
Mike Dunleavy,0.818,0.182,0
Andrea Bargnani,0.841,0.159,0
Jared Dudley,0.908,0.09,0.002
Greivis Vasquez,0.449,0.384,0.167
Cody Zeller,0.851,0.146,0.002
Justise Winslow,0.696,0.267,0.037
Randy Foye,0.474,0.314,0.212
Paul Pierce,0.65,0.312,0.038
Devin Harris,0.599,0.355,0.046
Rudy Gobert,0.845,0.144,0.011
David West,0.752,0.237,0.011
TJ McConnell,0.246,0.444,0.31
Donald Sloan,0.384,0.398,0.218
Vince Carter,0.662,0.297,0.041
Kosta Koufos,0.885,0.103,0.011
D.J. Augustin,0.351,0.346,0.303
Andre Iguodala,0.652,0.309,0.039
Iman Shumpert,0.597,0.34,0.063
Andrew Nicholson,0.567,0.375,0.059
Kris Humphries,0.827,0.167,0.007
Donatas Motiejunas,0.75,0.24,0.01
Leandro Barbosa,0.63,0.332,0.038
Trey Lyles,0.715,0.283,0.002
Amir Johnson,0.799,0.192,0.009
Alexis Ajinca,0.781,0.209,0.01
Spencer Hawes,0.754,0.236,0.01
Ty Lawson,0.317,0.422,0.261
Mario Hezonja,0.652,0.287,0.06
Tony Snell,0.611,0.298,0.091
Charlie Villanueva,0.753,0.241,0.006
Steven Adams,0.872,0.121,0.007
Maurice Harkless,0.717,0.254,0.03
Josh Richardson,0.574,0.283,0.143
Willie Cauley-Stein,0.875,0.119,0.006
Dante Cunningham,0.866,0.13,0.005
Tim Hardaway Jr.,0.746,0.242,0.011
Jason Terry,0.713,0.228,0.059
Markel Brown,0.628,0.334,0.038
Raul Neto,0.424,0.448,0.127
Clint Capela,0.876,0.121,0.003
Jerian Grant,0.322,0.45,0.228
Seth Curry,0.518,0.259,0.223
John Henson,0.821,0.172,0.007
Tristan Thompson,0.847,0.148,0.005
Mike Scott,0.891,0.099,0.011
Metta World Peace,0.605,0.339,0.056
Boris Diaw,0.491,0.426,0.084
Roy Hibbert,0.676,0.279,0.044
Channing Frye,0.898,0.099,0.003
Thabo Sefolosha,0.746,0.235,0.019
Festus Ezeli,0.842,0.136,0.023
Trevor Booker,0.752,0.24,0.008
Anthony Morrow,0.787,0.207,0.006
Tyler Zeller,0.878,0.122,0
Shaun Livingston,0.404,0.46,0.136
Cameron Payne,0.386,0.274,0.339
Ronnie Price,0.571,0.319,0.11
Brandon Bass,0.681,0.278,0.041
Norman Powell,0.59,0.349,0.061
Larry Nance Jr.,0.837,0.16,0.003
Rondae Hollis-Jefferson,0.565,0.399,0.036
Tyson Chandler,0.907,0.086,0.006
Timofey Mozgov,0.838,0.14,0.022
Aron Baynes,0.89,0.102,0.008
