PLAYER_NAME,FT_AST,SECONDARY,POTENTIAL,PASSES,AST,AST_ADJ,AST_PCT,ADJ_AST_PCT
Roy Hibbert,0.1,0.1,2.5,22.4,1.2,1.4,0.052,0.062
Channing Frye,0.1,0.3,1.7,23.8,1.0,1.3,0.042,0.057
Thabo Sefolosha,0.1,0.5,2.7,28.9,1.4,2.0,0.049,0.071
Festus Ezeli,0.0,0.3,1.3,18.6,0.7,1.0,0.037,0.054
Trevor Booker,0.1,0.2,2.8,35.6,1.1,1.4,0.029,0.039
Anthony Morrow,0.0,0.0,0.7,6.8,0.4,0.4,0.052,0.065
Tyler Zeller,0.1,0.3,1.2,13.3,0.5,0.8,0.037,0.064
Shaun Livingston,0.3,1.1,5.7,33.1,3.0,4.5,0.092,0.135
Cameron Payne,0.1,0.3,3.7,20.3,1.9,2.3,0.093,0.114
Ronnie Price,0.3,0.7,5.5,35.2,2.4,3.4,0.067,0.096
Brandon Bass,0.1,0.2,2.3,19.0,1.1,1.4,0.059,0.074
Norman Powell,0.1,0.1,1.7,12.4,1.0,1.2,0.079,0.096
Larry Nance Jr.,0.1,0.2,1.7,27.4,0.7,1.0,0.025,0.036
Rondae Hollis-Jefferson,0.1,0.4,3.1,21.7,1.5,2.0,0.068,0.091
Tyson Chandler,0.2,0.4,2.5,33.5,1.0,1.5,0.029,0.046
Timofey Mozgov,0.0,0.1,1.1,17.8,0.4,0.6,0.024,0.034
Aron Baynes,0.0,0.2,1.5,11.8,0.6,0.9,0.054,0.075
Lavoy Allen,0.2,0.4,2.1,26.3,1.0,1.6,0.037,0.059
Anthony Tolliver,0.1,0.2,1.8,24.2,0.7,1.0,0.03,0.042
Tim Frazier,0.4,0.6,6.4,27.1,3.2,4.2,0.117,0.155
Joakim Noah,0.1,0.7,7.0,44.9,3.8,4.6,0.084,0.103
Chris McCullough,0.0,0.2,0.8,16.6,0.4,0.6,0.023,0.035
