name,Post-Up,Putbacks,Cut,P&R Roll Man,Spot-Up,Handoff,Offscreen,Transition,Miscellaneous,Isolation,P&R Ball Handler,Restricted Area,Paint Area,Mid Range,3P
Kent.Bazemore,0,0.018640351,0.055921052,0,0.257675439,0.063596494,0.085526317,0.194078952,0.050438598,0.047149122,0.226973683,0.295264632,0.101671308,0.236768797,0.366295278
Timothe.Luwawu-Cabarrot,0,0,0.081932776,0,0.363445371,0.096638657,0.081932776,0.214285716,0.039915968,0.035714287,0.086134456,0.440111428,0.066852368,0.050139274,0.442896932
Eric.Gordon,0,0.009205021,0.016736401,0,0.287029296,0.090376571,0.08117155,0.215062767,0.029288704,0.082845189,0.188284516,0.218719214,0.075862072,0.055172414,0.650246322
Robert.Covington,0,0.053248137,0.074547388,0.01171459,0.358892441,0.079872206,0.079872206,0.225772098,0.054313101,0.019169329,0.042598508,0.331961602,0.056241427,0.050754458,0.561042547
Gary.Harris,0,0.031209363,0.122236669,0,0.248374507,0.143042907,0.079323798,0.187256172,0.036410924,0.028608583,0.123537064,0.416666657,0.080188677,0.103773586,0.399371058
Zach.LaVine,0,0,0.014336918,0,0.170848265,0.18757467,0.078853048,0.203106329,0.027479092,0.093189962,0.224611714,0.294366211,0.043661971,0.225352108,0.436619729
Devin.Harris,0,0,0.055432372,0,0.290465623,0.044345897,0.077605322,0.20399113,0.073170729,0.073170729,0.181818187,0.307917893,0.067448683,0.105571851,0.519061565
D.J..Augustin,0,0,0,0,0.186466172,0.076691732,0.076691732,0.148872182,0.057142857,0.046616543,0.407518804,0.183752418,0.092843324,0.193423599,0.529980659
C.J..Watson,0,0,0.053797469,0,0.218354434,0.056962024,0.075949363,0.243670881,0.072784811,0.06329114,0.215189874,0.201612905,0.064516127,0.310483873,0.42338711
Kelly.Oubre,0,0.083809525,0.06666667,0,0.371428579,0.032380953,0.070476189,0.224761903,0.043809526,0.026666667,0.079999998,0.356009066,0.074829929,0.145124719,0.424036294
Patty.Mills,0,0,0.038666666,0,0.262666672,0.097333334,0.06933333,0.170666665,0.034666665,0.02,0.306666672,0.161030591,0.016103059,0.251207739,0.571658611
Tyler.Johnson,0,0.021717669,0.053307008,0,0.212240875,0.122408688,0.069101676,0.161895365,0.041461006,0.039486673,0.27838105,0.282238454,0.158150852,0.25790754,0.301703155
Trevor.Ariza,0,0.030270271,0.033513512,0.016216217,0.403243244,0.024864865,0.067027025,0.278918922,0.056216218,0.03891892,0.05081081,0.233375162,0.032622334,0.03889586,0.695106626
Garrett.Temple,0,0.024390243,0.060037524,0,0.294559091,0.061913695,0.065666042,0.196998119,0.058161352,0.048780486,0.189493433,0.222222224,0.060185187,0.208333328,0.509259284
Damian.Lillard,0,0.011064278,0.036354057,0,0.066385671,0.095363542,0.065331928,0.093782932,0.037934668,0.158587992,0.435194939,0.292338699,0.123655915,0.194892466,0.38911289
Justin.Anderson,0,0.072761193,0.085820898,0,0.363805979,0.057835821,0.065298505,0.134328365,0.055970151,0.098880596,0.065298505,0.348519355,0.116173118,0.093394078,0.441913426
Rodney.McGruder,0,0.064695008,0.092421442,0,0.393715352,0.068391867,0.062846579,0.142329022,0.036968578,0.022181146,0.116451018,0.230936825,0.187363833,0.104575165,0.477124184
Terry.Rozier,0,0.03305785,0.03305785,0,0.258264452,0.072314046,0.06198347,0.181818187,0.053719006,0.07644628,0.22933884,0.290953547,0.1002445,0.176039115,0.432762831
Monta.Ellis,0,0,0.020270269,0,0.216216221,0.05135135,0.060810812,0.174324319,0.050000001,0.052702703,0.374324322,0.318918914,0.111711711,0.329729736,0.23963964
Tony.Snell,0,0.019672131,0.040983606,0,0.403278679,0.132786885,0.059016392,0.213114753,0.040983606,0.021311475,0.068852462,0.183673471,0.042671613,0.118738405,0.654916525
Brandon.Rush,0,0,0,0,0.602941155,0.049019609,0.05882353,0.225490198,0.063725494,0,0,0.181818187,0.042780749,0.165775403,0.609625697
DeMarre.Carroll,0,0.051401868,0.056074765,0,0.442367613,0,0.056074765,0.267912775,0.043613706,0.037383176,0.045171339,0.204379559,0.113138683,0.102189779,0.580291986
